front,back
【匂ふ】にほふ - 例文「春は藤波を見る。紫雲のごとくして、西方ににほふ。」の口語訳を答えなさい。,訳語：美しく照り映える。美しく輝く。 例文の訳：春は藤の花房が波のようになびくさまを見る。（阿弥陀仏が乗って来るという）紫雲のようで、西方に美しく照り映える。
【移ろふ】うつろふ - 例文「例よりはひきつくろひて書きて、うつろひたる菊にさしたり。」の口語訳を答えなさい。,訳語：色が変わる。（色が変わり）紅葉する。（葉や花が）散る。 例文の訳：いつもより（筆跡に）気を配って書いて、（その手紙を）色が変わった菊の花にさした。
【移ろふ】うつろふ - 例文「おのづから御心移ろひて、こよなう思し慰むやうなるも、あはれなるわざなりけり。」の口語訳を答えなさい。,訳語：（心が）移る。心変わりする。 例文の訳：（桐壺の更衣が亡くなり沈んでいた帝は）自然とお心が（藤壺へ）移って、この上なくお気持ちが慰められておいでのようなのも、しみじみとしたことであった。
【往ぬ・去ぬ】いぬ - 例文「男、「みやこへいなむ」といふ。」の口語訳を答えなさい。,訳語：行く。去る。 例文の訳：男は、「都へ行くつもりだ」と言う。
【往ぬ・去ぬ】いぬ - 例文「あはれ今年の秋もいぬめり」の口語訳を答えなさい。,訳語：（時が）過ぎ去る。 例文の訳：ああ、今年の秋も（むなしく）過ぎ去るようだ。
【遊ぶ】あそぶ - 例文「とりどりに物の音ども調べあはせて遊び給ふ、いとおもしろし。」の口語訳を答えなさい。,訳語：管絃を楽しむ。 例文の訳：それぞれ思い思いに楽器の音色を整えて管絃を楽しみなさるのは、とてもおもしろい。
【愛づ】めづ - 例文「良秀がよぢり不動とて、今に人々めで合へり。」の口語訳を答えなさい。,訳語：感嘆する。ほめる。たたえる。 例文の訳：「良秀のよじり不動」といって、今でも人々が感嘆し合っている。
【愛づ】めづ - 例文「人々の、花、蝶やとめづるこそ、はかなくあやしけれ。」の口語訳を答えなさい。,訳語：愛する。かわいがる。好む。 例文の訳：（世の）人々が、花よ蝶よと愛するのは、あさはかで奇妙なことだ。
【慣らふ・馴らふ】ならふ - 例文「ならはぬ鄙の住まひこそ、かねて思ふも悲しけれ。」の口語訳を答えなさい。,訳語：慣れる。習慣となる。 例文の訳：慣れない田舎の生活は、あらかじめ想像するのも悲しいことだ。
【慣らふ・馴らふ】ならふ - 例文「ここは、かく久しく遊びきこえて、慣らひたてまつれり。」の口語訳を答えなさい。,訳語：親しむ。なじむ。 例文の訳：ここ（地上の世界）では、このように長い間楽しく過ごし申し上げて、（育ててくれた竹取の翁や嫗にも）親しみ申し上げた。
【かしづく】 - 例文「親たちかしづき給ふこと限りなし。」の口語訳を答えなさい。,訳語：大切に養育する。 例文の訳：親たちが（虫めづる姫君を）大切に養育しなさることはこの上もない。
【かしづく】 - 例文「この猫を北面にも出ださず、思ひかしづく。」の口語訳を答えなさい。,訳語：大切に世話をする。 例文の訳：この猫を北向きの部屋（＝使用人の部屋）にも出さず、心にかけて大切に世話をする。
【頼む】たのむ［マ行四段］ - 例文「初心の人、二つの矢を持つことなかれ。後の矢を頼みて、初めの矢になほざりの心あり。」の口語訳を答えなさい。,訳語：あてにする。期待する。 例文の訳：（弓の）初心者は、二本の矢を持ってはならない。後の矢をあてにして、初めの矢（を射ること）においていい加減な気持ちがある。
【頼む】たのむ［マ行下二段］ - 例文「我を頼めて来ぬ男、角三つ生ひたる鬼になれ。」の口語訳を答えなさい。,訳語：あてにさせる。期待させる。 例文の訳：（逢いに来ると）私をあてにさせて（おきながら）やって来ない男よ、角が三本生えた鬼になれ。
【守る】まもる - 例文「下簾の狭間の開きたるより、この男まもれば、わが妻に似たり。」の口語訳を答えなさい。,訳語：見つめる。見守る。 例文の訳：（牛車の）下簾のすきまの開いている所から、この男が（車の中を）見つめると、自分の妻に似ている。
【聞こゆ】きこゆ - 例文「沖より舟どものうたひののしりて漕ぎ行くなども聞こゆ。」の口語訳を答えなさい。,訳語：聞こえる。（自然に）耳に入る。 例文の訳：沖を通っていくつもの舟が大声で歌いながら漕いで行くのなんかも聞こえる。
【聞こゆ】きこゆ - 例文「これ、昔、名高く聞こえたる所なり。」の口語訳を答えなさい。,訳語：世間に知られる。うわさされる。評判になる。 例文の訳：ここは、昔、有名で世間に知られた所である。
【聞こゆ】きこゆ - 例文「聞こえぬことども言ひつつよろめきたる、いとかはゆし。」の口語訳を答えなさい。,訳語：理解できる。意味がわかる。 例文の訳：（酒に酔って）理解できないことをいろいろ言いながらよろめいているのは、とても見るにたえない。
【おこす】 - 例文「せちによばひければあひにけり。その朝に文もおこせず。夜まで音もせず。」の口語訳を答えなさい。,訳語：よこす。送ってくる。 例文の訳：（平中が）しきりに言い寄ったので契った。その翌朝に手紙もよこさない。夜になるまで音沙汰もない。
【設く】まうく - 例文「大傘一つまうけよ。」の口語訳を答えなさい。,訳語：準備する。用意する。 例文の訳：大きな傘を一つ準備しろ。
【答ふ】いらふ - 例文「子三人を呼びて語りけり。二人の子は、情けなくいらへてやみぬ。」の口語訳を答えなさい。,訳語：答える。返事をする。 例文の訳：子三人を呼んで話をした。二人の子は、そっけなく答えて終わった（＝とりあわなかった）。
【渡る】わたる - 例文「今日は、宮の御方に昼渡り給ふ。」の口語訳を答えなさい。,訳語：行く。来る。通る。 例文の訳：今日は、女三の宮のお部屋へ昼間に行きなさる。
【渡る】わたる - 例文「おぼつかなく思しわたることの筋を聞こゆれば、いと奥ゆかしけれど、げに人目もしげし。」の口語訳を答えなさい。,訳語：〔補助動詞として〕（時間的に）ずっと（～する）。 例文の訳：（薫が）ずっと不審にお思いになっていたこと（＝薫自身の出生の秘密）の方面を（老女が）申し上げるので、もっと聞きたかったが、いかにも人目も多い。
【渡る】わたる - 例文「この宮は腹々に御子の宮たちあまたわたらせ給ひけり。」の口語訳を答えなさい。,訳語：〔「わたらせたまふ」の形で、「あり」「をり」の尊敬語〕いらっしゃる。 例文の訳：この宮は奥様方に御子の宮たちが大勢いらっしゃった。
【具す】ぐす - 例文「我をばいづちへ具して行かむとするぞ。」の口語訳を答えなさい。,訳語：（引き）連れる。つき従える。 例文の訳：私をどこに連れて行こうとするのか。
【具す】ぐす - 例文「我は一門に具して西国の方へ落ちゆくなり。」の口語訳を答えなさい。,訳語：つき従う。連れ立つ。 例文の訳：私は（平家）一門につき従って（＝一緒に）西国へ逃げていくのだ。
【具す】ぐす - 例文「不死の薬壺に文具して、御使ひに賜はす。」の口語訳を答えなさい。,訳語：添える。備える。備わる。 例文の訳：不死の薬の壺に手紙を添えて、御使いにお与えになる。
【訪ふ・弔ふ】とぶらふ - 例文「心ざし深かりける人、行きとぶらひけるを、正月の十日ばかりのほどに、ほかに隠れにけり。」の口語訳を答えなさい。,訳語：訪れる。訪ねる。 例文の訳：（ある女への）愛情が深かった男が、（女の所へ）行って訪れたのだが、正月十日あたりのころに、（女は）よそに姿をかくしてしまった。
【訪ふ・弔ふ】とぶらふ - 例文「大弐の乳母のいたくわづらひて尼になりにける、とぶらはむとて、五条なる家訪ねておはしたり。」の口語訳を答えなさい。,訳語：見舞う。安否を尋ねる。 例文の訳：大弐の乳母（＝光源氏の乳母）がひどく患って尼になったのを、見舞おうと思って、五条にある家を訪ねていらっしゃった。
【訪ふ・弔ふ】とぶらふ - 例文「維盛が後生をもとぶらへかし。」の口語訳を答えなさい。,訳語：弔問する。供養する。 例文の訳：維盛の来世（の幸せ）を（祈って）供養してくれよ。
【物す】ものす - 例文「日ごろものしつる人、今日ぞ帰りぬる。」の口語訳を答えなさい。,訳語：いる。ある。 例文の訳：数日来（私と一緒に）いた人が、今日帰ってしまう。
【物す】ものす - 例文「馬にてものせむ。」の口語訳を答えなさい。,訳語：行く。来る。 例文の訳：馬で行こう。
【物す】ものす - 例文「魚などものせよ。」の口語訳を答えなさい。,訳語：何かをする。（文脈に応じて訳す） 例文の訳：魚などを食べよ。
【わななく】 - 例文「いと恐ろしと思してわななき給ふ。」の口語訳を答えなさい。,訳語：ふるえる。 例文の訳：たいそう恐ろしいとお思いになってふるえなさる。
【わづらふ】 - 例文「寛大にして極まらざる時は、喜怒これにさはらずして、物のためにわづらはず。」の口語訳を答えなさい。,訳語：思い悩む。病気になる。 例文の訳：心が広く大らかで狭く限ることがないときは、喜怒の感情が邪魔となることなく、物事のために思い悩まない。
【わづらふ】 - 例文「漕ぎ上るに、川の水干て、悩みわづらふ。」の口語訳を答えなさい。,訳語：苦労する。難儀する。 例文の訳：（都に向けて淀川を船で）こぎ上るが、川の水が少なくなって、難儀し苦労する。
【わづらふ】 - 例文「勢多の橋みな崩れて、渡りわづらふ。」の口語訳を答えなさい。,訳語：〔補助動詞として〕～するのに困る。～しかねる。 例文の訳：勢多の橋がみな崩れて、渡るのに困る。
【惑ふ】まどふ - 例文「心地惑ひにけり。」の口語訳を答えなさい。,訳語：心が乱れる。途方に暮れる。あわてる。 例文の訳：気持ちが乱れてしまった。
【惑ふ】まどふ - 例文「風の吹きまどひたるさま、恐ろしげなること、命かぎりつと思ひまどはる。」の口語訳を答えなさい。,訳語：〔動詞の連用形に付いて〕ひどく（～する）。 例文の訳：風がひどく吹いているさまの、恐ろしげなことは、命もおしまいだと気が動転してしまう。
【被く】かづく［カ行四段］ - 例文「大将も物かづき、忠岑も禄賜はりなどしけり。」の口語訳を答えなさい。,訳語：（ほうびを）いただく。かぶる。 例文の訳：大将も物をいただき、忠岑もほうびをいただくなどした。
【被く】かづく［カ行下二段］ - 例文「郎等までに物かづけたり。」の口語訳を答えなさい。,訳語：（ほうびを）与える。かぶせる。 例文の訳：従者にいたるまでに物を与えた。
